관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-1.7,-8.3,6.3,6.0,8.0,12.3,3.7,13.9,0.0
2018-12-17,2.4,-2.5,7.6,4.4,8.4,13.3,3.0,18.2,65.0
2018-12-24,1.6,-1.3,5.5,4.7,7.9,13.9,3.6,14.5,38.0
2019-01-02,-0.5,-4.2,4.2,,,,,,
2019-01-07,0.9,-5.6,6.1,,,,,,
2019-01-14,1.9,-3.9,9.2,,,,,,
2019-01-21,1.7,-3.4,8.2,,,,,,
2019-01-28,3.0,-1.9,8.7,,,,,,
2019-02-07,4.3,-1.7,8.7,4.0,8.1,15.0,3.2,23.3,0.0
2019-02-11,0.7,-2.9,4.7,3.7,8.2,14.2,3.2,22.1,0.0
2019-02-18,4.5,-1.8,9.2,4.1,8.1,14.0,5.3,24.8,0.0
2019-02-25,9.0,3.6,15.2,5.6,8.3,14.2,4.5,22.9,0.0
2019-03-04,10.8,5.9,16.9,8.0,8.4,13.6,3.6,22.7,0.0
2019-03-11,8.2,2.1,14.4,8.0,8.3,12.8,4.1,23.8,0.0
2019-03-18,8.8,0.6,16.9,9.2,8.4,12.4,4.2,22.3,0.0
2019-03-25,8.9,1.1,15.6,10.6,8.2,11.6,3.2,15.3,0.0
2019-04-01,7.0,2.4,11.8,10.7,7.9,10.8,3.7,9.3,0.0
2019-04-08,13.2,6.5,21.4,12.6,8.4,10.9,3.5,14.4,0.0
2019-04-22,17.7,11.6,25.5,16.7,8.1,10.6,2.4,9.1,0.0
2019-04-29,10.8,9.0,12.0,14.8,8.2,10.0,3.2,13.3,0.0
2019-05-07,15.5,7.2,22.5,18.2,8.6,10.8,2.1,11.5,81.0
2019-05-13,19.5,12.2,27.3,20.4,8.8,10.2,2.0,6.9,0.0
2019-05-20,19.0,14.5,22.4,20.5,8.3,9.0,1.0,3.7,0.0
2019-05-27,21.2,19.0,23.7,21.4,9.7,8.7,1.6,21.4,435.0
2019-06-03,25.4,16.7,33.0,23.0,8.5,9.2,0.9,5.1,354.0
2019-06-10,19.0,15.0,23.7,23.6,8.5,9.3,1.8,11.5,579.0
2019-06-17,23.9,18.4,30.0,24.1,8.2,8.0,1.1,4.9,1490.0
2019-06-24,22.9,17.5,30.2,26.4,8.8,9.3,1.2,10.4,26446.0
2019-07-01,24.3,21.2,27.6,25.2,7.8,8.0,2.2,8.0,9529.0
2019-07-09,21.7,18.8,24.7,25.8,8.7,9.5,1.3,15.0,9444.0
2019-07-15,23.1,21.2,27.1,25.7,8.6,9.9,2.0,25.1,11427.0
2019-07-22,28.3,23.0,33.7,26.2,7.6,8.2,2.8,15.9,4501.0
2019-07-29,29.4,24.5,34.6,26.8,8.1,9.0,4.1,32.1,1037.0
2019-08-05,30.0,25.3,36.2,30.1,8.6,9.2,2.1,30.0,7601.0
2019-08-12,29.9,26.6,34.6,29.2,9.0,9.9,4.9,52.0,23949.0
2019-08-19,27.0,24.1,31.8,29.0,8.9,9.6,3.6,37.4,44060.0
2019-08-22,26.2,24.3,30.5,27.6,8.1,8.1,3.0,21.6,5057.0
2019-08-26,25.3,19.3,31.4,27.9,8.4,8.8,2.9,23.2,13501.0
2019-08-29,23.4,22.1,25.4,26.4,8.1,8.4,3.7,19.7,5410.0
2019-09-02,20.7,19.9,22.4,25.5,7.9,8.2,4.0,16.6,9820.0
2019-09-09,26.7,24.2,32.0,26.1,8.6,9.8,1.7,33.1,25074.0
2019-09-16,22.0,17.6,27.7,25.8,9.2,11.7,3.0,45.0,2428.0
2019-09-24,19.2,14.8,26.5,20.6,7.7,9.3,20.7,7.5,123.0
2019-09-30,23.6,18.2,30.1,21.9,8.3,11.1,8.1,38.2,185.0
2019-10-07,15.4,13.7,17.9,20.1,7.2,9.1,47.2,2.4,92.0
2019-10-14,16.4,9.6,22.8,19.6,7.4,9.9,16.0,20.1,32.0
2019-10-21,15.5,11.1,22.4,18.2,7.2,9.7,6.3,14.2,100.0
2019-10-28,11.4,3.9,19.4,17.8,8.0,10.8,6.8,28.5,167.0
2019-11-04,13.6,8.4,18.0,16.9,9.0,11.4,4.4,15.7,8.0
2019-11-11,12.5,7.3,18.4,14.8,8.4,9.7,7.0,4.1,25.0
2019-11-18,11.3,4.9,20.6,12.5,7.9,10.1,6.6,3.4,27.0
2019-11-25,8.9,6.7,13.7,10.9,7.7,11.1,4.9,5.8,19.0
2019-12-02,5.1,1.3,7.5,9.5,7.7,11.7,4.0,13.8,14.0
2019-12-09,2.3,-3.9,10.9,6.9,8.5,13.6,3.6,39.8,430.0
2019-12-16,6.1,-0.6,13.2,6.6,8.8,13.6,2.4,14.1,261.0
2019-12-23,3.3,-2.6,10.4,5.8,8.2,12.2,1.7,5.7,0.0
2019-12-30,5.2,1.8,10.6,4.7,8.8,12.9,1.2,7.2,0.0
2020-01-06,1.2,-1.4,3.0,3.6,8.3,13.3,1.3,9.0,0.0
2020-01-13,2.1,-0.6,5.5,4.3,7.9,13.8,2.7,14.1,0.0
2020-01-20,4.7,2.4,8.1,3.3,8.0,13.5,2.5,14.1,0.0
2020-01-28,7.4,4.5,11.1,4.4,8.0,13.6,3.5,12.0,0.0
2020-02-03,3.4,0.3,7.5,4.7,8.5,15.3,5.1,50.4,0.0
2020-02-10,5.6,1.4,12.1,5.0,8.8,14.6,4.9,53.4,0.0
2020-02-17,-1.3,-4.2,1.8,5.6,8.3,13.7,5.5,52.0,0.0
2020-02-25,7.2,5.7,9.8,6.2,7.7,12.9,3.6,14.5,0.0
2020-03-02,7.1,4.2,11.5,,,,,,
2020-03-09,9.0,1.6,15.1,,,,,,
2020-03-16,6.2,0.8,12.1,8.7,8.1,12.7,7.0,19.7,0.0
2020-03-23,11.3,3.0,20.1,11.1,8.7,12.9,3.8,19.8,53.0
2020-03-30,11.3,6.1,18.3,12.0,8.2,11.4,3.8,15.3,146.0
2020-04-06,11.2,1.3,18.9,13.4,8.3,11.6,2.4,12.6,1366.0
2020-04-13,10.3,6.4,16.7,12.3,7.9,11.2,5.0,24.7,2976.0
2020-04-20,13.6,9.6,19.8,14.1,8.7,11.3,3.1,17.9,4744.0
2020-04-27,12.8,5.4,20.0,14.4,8.9,11.3,3.7,15.6,5076.0
2020-05-04,21.4,14.7,29.7,18.1,8.3,9.4,4.1,4.5,0.0
2020-05-11,21.2,12.9,28.6,19.4,8.2,9.1,2.3,5.3,0.0
2020-05-18,19.8,17.2,23.5,20.5,8.1,8.9,2.3,7.5,230.0
2020-05-25,21.3,16.0,26.3,21.1,8.6,10.2,1.0,10.3,29.0
2020-06-01,23.9,19.9,29.1,23.0,8.8,10.2,0.9,11.1,333.0
2020-06-08,26.6,17.4,35.6,24.3,8.4,8.7,1.2,10.1,569.0
2020-06-15,25.8,19.9,31.8,25.3,7.6,7.3,2.3,4.3,198.0
2020-06-22,25.1,16.2,33.5,26.8,8.4,9.3,3.0,13.6,520.0
2020-06-29,22.2,19.8,26.8,26.1,8.0,8.5,2.2,19.9,6390.0
2020-07-06,23.9,19.9,28.1,24.7,8.3,9.5,3.1,21.8,329.0
2020-07-15,19.4,17.5,22.9,19.1,7.6,9.8,51.8,5.4,196.0
2020-07-20,29.0,25.9,32.8,21.2,7.3,9.4,17.1,13.0,217.0
2020-07-27,22.6,21.3,24.6,20.6,7.2,9.7,23.5,3.6,343.0
2020-08-03,29.1,25.7,33.0,22.7,7.6,9.2,32.7,3.1,188.0
2020-08-10,26.2,24.2,30.6,,,,,,
2020-08-18,30.0,24.8,35.9,26.6,8.4,10.6,11.0,14.8,568.0
2020-08-25,29.7,23.7,36.3,28.5,8.2,9.1,2.7,19.6,2821.0
2020-08-31,25.4,23.8,27.4,27.0,7.6,8.2,8.1,31.6,3262.0
2020-09-09,23.7,21.1,28.1,21.2,7.2,9.5,46.5,6.4,9604.0
2020-09-14,22.5,18.0,28.6,23.0,7.4,9.4,42.5,3.9,9945.0
2020-09-21,18.0,12.0,24.4,22.4,7.6,8.8,11.2,11.0,1761.0
2020-09-28,17.7,11.7,24.1,21.6,7.6,8.7,13.4,6.5,955.0
2020-10-05,15.8,11.0,20.1,20.8,7.5,8.5,10.2,6.1,360.0
2020-10-12,17.4,12.4,23.5,19.8,8.3,10.1,6.3,18.6,3355.0
2020-10-19,14.3,7.1,22.4,17.8,7.9,10.1,5.4,16.3,48.0
2020-10-26,13.4,6.2,21.6,16.3,8.0,10.4,5.4,16.9,965.0
2020-11-02,13.1,6.9,18.2,15.3,8.9,12.1,6.1,60.5,713.0
2020-11-09,8.2,4.1,12.8,12.9,8.8,11.0,3.4,6.1,1112.0
2020-11-16,12.2,5.0,20.3,12.2,8.1,10.5,2.5,4.9,2368.0
2020-11-23,6.0,2.7,10.5,12.2,8.2,11.2,2.5,16.4,8848.0
2020-11-30,3.8,0.8,8.2,9.7,8.2,11.7,2.7,18.4,2769.0
2020-12-07,4.4,-1.8,11.3,7.7,8.2,12.3,2.9,20.5,74.0
2020-12-14,-2.9,-5.6,-0.5,6.0,8.9,13.5,5.0,50.5,24.0
2020-12-21,0.6,-4.5,5.9,3.1,9.0,14.2,3.6,52.8,131.0
2020-12-28,3.9,0.4,12.6,3.5,8.9,14.2,3.5,48.6,170.0
2021-01-04,-0.3,-5.8,5.5,2.1,8.9,15.0,3.8,46.2,0.0
2021-01-11,-4.3,-8.5,-0.8,,,,,,
2021-01-18,-1.9,-6.6,4.4,,,,,,
2021-01-25,7.5,3.0,12.0,,,,,,
2021-02-01,7.1,3.9,10.1,3.2,8.9,15.5,3.4,40.1,0.0
2021-02-08,0.7,-2.3,4.4,3.4,9.0,15.5,3.4,46.4,0.0
2021-06-28,23.9,21.3,28.0,25.6,8.8,9.8,5.2,25.8,9884.0
2021-07-05,24.1,20.6,27.2,24.9,8.3,9.2,3.8,32.5,4074.0
2021-07-12,27.0,22.2,34.1,24.5,7.6,8.8,23.1,6.2,189.0
2021-07-19,27.1,23.8,31.6,27.0,8.3,9.1,5.0,35.4,5714.0
2021-07-26,28.4,23.4,33.9,29.4,8.9,11.0,3.0,29.7,6039.0
2021-08-02,27.8,25.0,32.9,29.7,8.6,9.0,4.6,18.3,18548.0
2021-08-09,27.3,23.1,33.0,28.7,7.9,7.1,6.3,8.2,7387.0
2021-08-17,23.4,21.7,26.9,27.0,7.8,7.7,4.2,8.9,2415.0
2021-08-23,23.2,21.2,24.9,26.4,7.8,8.2,3.9,11.6,1415.0
2021-08-30,25.3,22.0,30.6,23.1,7.4,8.9,27.7,2.4,393.0
2021-09-06,21.7,19.4,25.6,21.1,7.4,9.2,23.5,3.1,547.0
2021-09-13,23.1,20.9,25.8,23.2,8.0,9.2,4.8,25.4,1496.0
2021-09-23,21.8,17.6,26.6,23.2,8.0,8.7,3.4,11.4,175.0
2021-09-27,20.4,17.8,24.8,22.8,8.0,8.3,4.3,11.5,346.0
2021-10-05,24.0,19.7,30.1,23.9,8.0,8.9,4.4,13.1,3589.0
2021-10-12,15.9,14.7,17.3,22.1,7.8,7.7,6.8,7.1,165.0
2021-10-18,9.2,2.0,17.6,18.9,8.0,9.0,9.5,5.5,116.0
2021-10-25,12.5,7.0,20.4,16.8,8.9,11.2,6.6,32.1,3495.0
2021-11-08,11.3,8.2,17.4,15.1,8.5,10.4,3.0,12.5,984.0
2021-11-15,9.9,4.2,17.4,12.8,8.2,10.3,2.8,6.5,822.0
2021-11-22,7.7,3.5,12.1,11.9,8.4,11.5,2.4,9.8,700.0
2021-11-29,7.0,-0.8,16.1,9.6,8.1,11.1,1.6,8.7,1901.0
2021-12-06,5.1,-0.5,12.5,7.3,8.3,11.9,2.1,12.5,909.0
