"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2021.01.04","","","","","","","","","","","","","",""
"하천","낙동강","해평","2021.01.11","","","","","","","","","","","","","",""
"하천","낙동강","해평","2021.01.18","","","","","","","","","","","","","",""
"하천","낙동강","해평","2021.01.25","","","","","","","","","","","","","",""
"하천","낙동강","해평","2021.02.01","","","","","","","","","","","","","",""
"하천","낙동강","해평","2021.02.08","3.2","8.3","15.2","0.7","2.7","24.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.02.15","4.8","8.3","14.1","1.9","2.1","19.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.02.22","6.2","8.4","13.2","1.5","2.3","12.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.03.02","5.5","7.5","13.0","0.6","7.5","10.5","62","0","0","62","0","","",""
"하천","낙동강","해평","2021.03.08","6.4","8.2","14.0","1.6","3.6","20.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.03.15","9.6","8.4","14.1","1.0","4.4","32.6","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.03.22","9.6","8.5","12.7","1.2","5.3","49.9","59","0","0","0","59","","",""
"하천","낙동강","해평","2021.03.29","11.6","7.7","11.0","1.3","2.6","7.6","155","0","0","0","155","","",""
"하천","낙동강","해평","2021.04.05","13.3","8.0","11.4","0.5","8.8","33.9","214","0","0","0","214","","",""
"하천","낙동강","해평","2021.04.12","13.1","6.9","10.4","0.7","18.4","14.0","385","0","0","0","385","","",""
"하천","낙동강","해평","2021.04.19","14.2","8.0","11.3","1.2","6.1","29.6","349","0","0","0","349","","",""
"하천","낙동강","해평","2021.04.26","16.1","8.8","11.3","1.2","4.6","36.7","413","0","0","0","413","","",""
"하천","낙동강","해평","2021.05.03","17.6","8.8","10.4","1.2","5.5","25.6","256","0","0","32","224","","",""
"하천","낙동강","해평","2021.05.10","17.0","8.7","9.7","0.6","4.9","20.0","141","0","0","141","0","","",""
"하천","낙동강","해평","2021.05.17","18.6","8.4","9.6","0.5","7.7","23.3","54","0","0","0","54","","",""
"하천","낙동강","해평","2021.05.24","19.3","7.3","9.1","0.4","11.4","11.7","182","0","37","145","0","","",""
"하천","낙동강","해평","2021.05.31","19.6","8.4","10.0","0.5","4.8","28.6","610","0","0","557","53","","",""
"하천","낙동강","해평","2021.06.07","21.2","8.3","9.7","1.1","4.6","34.4","610","0","60","550","0","","",""
"하천","낙동강","해평","2021.06.14","23.8","8.5","9.4","1.3","4.3","27.1","2418","0","40","2068","310","","",""
"하천","낙동강","해평","2021.06.21","23.6","8.5","9.6","0.6","5.5","46.5","483","0","85","364","34","","",""
"하천","낙동강","해평","2021.06.28","22.8","9.0","9.9","1.2","5.3","18.6","283","0","0","189","94","","",""
"하천","낙동강","해평","2021.07.05","23.2","7.8","8.9","0.6","5.3","22.3","613","0","430","0","183","","",""
"하천","낙동강","해평","2021.07.12","23.8","6.9","9.1","0.1","38.2","5.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.07.19","26.5","7.8","9.2","1.0","5.4","30.7","275","0","46","148","81","","",""
"하천","낙동강","해평","2021.07.26","26.9","8.7","8.5","1.4","1.9","17.4","1865","1480","218","43","124","","",""
"하천","낙동강","해평","2021.08.02","26.5","7.1","8.0","0.3","55.0","12.0","45","0","18","0","27","","",""
"하천","낙동강","해평","2021.08.09","28.5","8.0","7.7","0.6","6.6","21.7","22421","14113","7442","0","866","","",""
"하천","낙동강","해평","2021.08.17","25.9","7.5","7.9","1.1","5.4","7.1","245","245","0","0","0","","",""
"하천","낙동강","해평","2021.08.23","24.9","7.6","8.0","1.0","7.3","5.7","250","250","0","0","0","","",""
"하천","낙동강","해평","2021.08.30","23.4","7.5","8.7","0.4","15.7","3.4","980","980","0","0","0","","",""
"하천","낙동강","해평","2021.09.06","21.4","7.4","8.7","0.3","17.8","5.3","1098","1025","56","0","17","","",""
"하천","낙동강","해평","2021.09.13","22.7","8.3","9.9","0.6","3.7","39.4","1555","1555","0","0","0","","",""
"하천","낙동강","해평","2021.09.23","21.9","8.0","9.5","1.5","3.5","21.5","1342","770","91","253","228","","",""
"하천","낙동강","해평","2021.09.27","21.6","7.9","9.1","0.9","2.8","13.8","617","405","85","0","127","","",""
"하천","낙동강","해평","2021.10.05","23.0","8.1","9.2","0.8","4.2","15.4","746","435","0","0","311","","",""
"하천","낙동강","해평","2021.10.12","21.0","8.1","9.1","0.5","4.9","20.5","753","355","22","0","376","","",""
"하천","낙동강","해평","2021.10.18","18.6","7.9","9.9","0.6","8.5","27.3","258","195","0","0","63","","",""
"하천","낙동강","해평","2021.10.25","16.3","8.9","10.5","0.7","9.0","46.8","312","65","97","0","150","","",""
"하천","낙동강","해평","2021.11.01","15.2","9.0","10.9","0.9","5.3","20.8","497","80","27","0","390","","",""
"하천","낙동강","해평","2021.11.10","12.4","7.9","10.7","0.6","5.0","19.3","90","90","0","0","0","","",""
"하천","낙동강","해평","2021.11.15","11.4","7.9","10.9","1.0","2.9","14.2","669","100","17","0","552","","",""
"하천","낙동강","해평","2021.11.22","10.8","8.7","12.7","1.3","2.8","27.8","260","55","0","0","205","","",""
"하천","낙동강","해평","2021.11.29","8.4","8.9","13.4","1.3","3.4","32.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2021.12.06","6.5","8.8","12.8","1.6","3.1","19.4","0","0","0","0","0","","",""
"하천","낙동강","칠서","2021.01.04","3.5","8.3","14.0","1.1","2.5","20.0","266","0","0","102","164","","",""
"하천","낙동강","칠서","2021.01.11","","","","","","","","","","","","","",""
"하천","낙동강","칠서","2021.01.18","","","","","","","","","","","","","",""
"하천","낙동강","칠서","2021.01.25","4.4","8.2","14.3","0.8","3.5","32.0","68","0","0","0","68","","",""
"하천","낙동강","칠서","2021.02.01","5.5","8.5","14.3","1.2","3.2","33.8","0","0","0","0","0","","",""
"하천","낙동강","칠서","2021.02.08","5.2","8.8","15.0","0.5","4.0","43.3","19","0","0","0","19","","",""
"하천","낙동강","칠서","2021.02.15","5.9","8.8","15.4","0.7","2.9","44.7","0","0","0","0","0","","",""
"하천","낙동강","칠서","2021.02.22","7.3","8.8","14.0","1.4","3.2","32.8","58","0","0","58","0","","",""
"하천","낙동강","칠서","2021.03.02","7.5","9.0","13.6","0.8","5.6","48.0","0","0","0","0","0","","",""
"하천","낙동강","칠서","2021.03.08","9.7","7.9","12.1","1.8","4.1","23.4","21","0","0","0","21","","",""
"하천","낙동강","칠서","2021.03.15","10.8","8.9","13.5","0.6","4.4","64.1","310","0","71","0","239","","",""
"하천","낙동강","칠서","2021.03.22","11.7","8.8","12.4","0.6","5.5","46.3","158","0","0","0","158","","",""
"하천","낙동강","칠서","2021.03.29","14.4","8.3","11.2","0.7","9.7","31.5","78","0","0","0","78","","",""
"하천","낙동강","칠서","2021.04.05","14.5","8.0","10.5","0.5","28.9","55.1","215","0","0","0","215","","",""
"하천","낙동강","칠서","2021.04.12","15.4","8.9","10.8","1.2","5.3","29.3","1221","0","0","571","650","","",""
"하천","낙동강","칠서","2021.04.19","17.1","8.3","10.0","1.3","1.8","14.8","969","0","0","0","969","","",""
"하천","낙동강","칠서","2021.04.26","18.7","8.6","10.1","1.4","2.4","7.9","153","0","0","0","153","","",""
"하천","낙동강","칠서","2021.05.03","18.6","8.3","10.1","0.8","2.6","12.7","55","0","0","0","55","","",""
"하천","낙동강","칠서","2021.05.10","18.8","8.3","10.3","1.1","3.0","14.4","71","0","0","0","71","","",""
"하천","낙동강","칠서","2021.05.17","19.5","7.8","9.1","0.8","6.2","20.5","83","0","0","0","83","","",""
"하천","낙동강","칠서","2021.05.24","22.4","7.9","9.9","0.9","5.3","17.2","262","0","106","0","156","","",""
"하천","낙동강","칠서","2021.05.31","23.7","8.1","9.5","1.0","5.3","22.5","559","295","0","0","264","","",""
"하천","낙동강","칠서","2021.06.07","24.6","8.0","8.9","0.5","6.8","12.0","278","0","59","54","165","","",""
"하천","낙동강","칠서","2021.06.14","25.8","8.2","9.1","0.6","4.2","23.1","2765","0","494","0","2271","","",""
"하천","낙동강","칠서","2021.06.21","25.9","8.4","10.1","0.8","3.6","26.8","649","0","0","0","649","","",""
"하천","낙동강","칠서","2021.06.28","26.7","8.8","9.7","0.7","4.5","27.8","25454","4760","331","0","20363","","",""
"하천","낙동강","칠서","2021.07.05","25.4","7.9","8.4","0.8","6.7","17.3","54753","3120","0","0","51633","","",""
"하천","낙동강","칠서","2021.07.08","23.3","7.8","7.8","0.4","53.7","22.0","1429","0","21","80","1328","정량한계미만","6","정량한계미만"
"하천","낙동강","칠서","2021.07.12","24.2","7.4","8.3","0.2","79.1","7.1","86","0","0","0","86","정량한계미만","정량한계미만","정량한계미만"
"하천","낙동강","칠서","2021.07.19","27.3","8.1","9.1","0.6","7.3","37.2","60","0","0","0","60","","",""
"하천","낙동강","칠서","2021.07.26","29.1","8.7","10.7","0.4","6.1","52.7","7609","6525","270","60","754","","",""
"하천","낙동강","칠서","2021.08.02","30.7","8.5","10.2","0.3","5.9","61.7","25563","23500","488","58","1517","","",""
"하천","낙동강","칠서","2021.08.09","28.9","7.8","7.7","0.4","9.3","13.4","2020","2020","0","0","0","","",""
"하천","낙동강","칠서","2021.08.17","26.7","7.9","8.6","0.6","6.3","17.5","32453","32367","0","86","0","","",""
"하천","낙동강","칠서","2021.08.23","25.9","7.8","8.3","0.8","5.9","12.2","3345","3345","0","0","0","","",""
"하천","낙동강","칠서","2021.08.30","24.0","7.5","8.7","0.2","25.7","3.6","161","135","26","0","0","","",""
"하천","낙동강","칠서","2021.09.06","22.1","7.7","9.0","0.5","11.1","7.0","911","695","0","0","216","","",""
"하천","낙동강","칠서","2021.09.13","24.0","7.9","9.0","0.9","8.4","17.6","1097","850","6","0","241","","",""
"하천","낙동강","칠서","2021.09.23","23.6","8.2","9.7","1.0","4.8","17.1","2615","2045","319","0","251","","",""
"하천","낙동강","칠서","2021.09.27","23.3","8.5","10.1","0.9","10.0","18.8","648","560","0","0","88","","",""
"하천","낙동강","칠서","2021.10.05","24.3","8.7","10.6","0.9","3.4","31.4","2803","1820","217","0","766","","",""
"하천","낙동강","칠서","2021.10.12","22.5","8.3","9.2","0.8","3.5","36.0","1801","1605","0","0","196","","",""
"하천","낙동강","칠서","2021.10.18","18.9","8.5","10.3","1.6","2.6","19.3","889","740","149","0","0","","",""
"하천","낙동강","칠서","2021.10.25","17.5","9.0","12.1","1.2","2.2","32.7","3225","2910","0","0","315","","",""
"하천","낙동강","칠서","2021.11.01","16.6","9.2","12.5","1.2","2.1","34.8","1017","595","0","0","422","","",""
"하천","낙동강","칠서","2021.11.08","14.8","8.9","10.9","1.2","2.5","15.1","667","440","0","0","227","","",""
"하천","낙동강","칠서","2021.11.15","13.3","8.4","10.9","1.8","1.2","11.7","342","275","40","0","27","","",""
"하천","낙동강","칠서","2021.11.22","","","","","","","","","","","","","",""
"하천","낙동강","칠서","2021.11.29","10.4","8.9","12.4","1.0","1.9","14.6","674","185","0","156","333","","",""
"하천","낙동강","칠서","2021.12.06","8.7","8.8","12.4","2.2","1.7","13.3","672","160","0","119","393","","",""
"호소","운문호","댐앞","2021.01.04","5.6","7.9","12.4","1.3","8.0","1.9","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.01.11","4.1","7.5","12.8","1.3","7.9","2.4","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.01.18","3.8","7.1","12.9","1.3","7.3","2.1","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.01.25","4.7","7.4","13.1","1.4","7.2","2.7","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.02.01","5.1","7.2","13.0","1.3","7.8","2.6","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.02.08","3.4","7.6","13.6","1.4","7.2","3.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.02.15","5.1","7.4","12.9","1.5","6.9","3.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.02.22","5.7","8.0","13.0","1.4","7.3","3.8","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.03.02","4.2","7.1","13.7","1.4","8.2","3.7","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.03.08","5.9","7.0","13.4","1.5","5.8","3.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.03.15","7.0","7.3","12.9","1.7","8.4","3.8","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.03.22","6.4","7.2","13.8","1.6","4.2","2.4","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.03.29","8.0","7.3","12.3","1.5","6.9","2.8","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.04.05","9.4","7.6","12.0","1.5","6.9","3.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.04.12","9.3","7.6","11.7","1.3","7.0","3.2","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.04.19","10.2","8.0","11.6","1.7","5.6","1.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.04.26","10.9","8.4","11.0","1.6","8.0","2.6","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.05.03","11.9","7.6","10.8","1.5","7.0","2.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.05.10","10.6","7.7","10.9","1.5","8.4","1.7","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.05.17","12.9","8.2","10.4","1.2","8.0","2.6","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.05.24","15.4","7.2","10.0","2.2","7.3","2.2","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.05.31","14.2","7.6","9.6","1.5","6.1","1.9","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.06.07","15.2","9.3","9.4","3.0","7.2","2.8","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.06.14","16.5","8.2","9.3","3.5","3.7","3.4","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.06.21","15.7","8.4","9.1","3.0","3.5","2.7","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.06.28","16.0","6.9","9.2","3.0","3.0","3.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.07.05","17.3","8.7","7.5","1.5","4.6","4.2","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.07.12","19.0","8.4","7.5","2.0","5.7","2.1","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.07.19","18.4","7.4","6.9","2.0","5.4","2.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.07.26","18.6","7.1","6.9","2.5","4.5","2.1","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.08.02","18.0","7.4","6.4","3.0","2.1","1.8","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.08.09","19.9","7.7","6.1","3.0","4.1","2.1","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.08.17","17.2","7.6","3.7","2.5","4.7","2.6","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.08.23","19.8","6.9","5.9","2.0","6.7","3.4","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.08.30","19.6","7.7","6.7","1.5","8.6","5.7","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.09.06","21.6","7.4","6.6","1.7","6.7","4.0","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.09.13","19.4","7.7","6.8","1.7","5.5","11.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.09.23","18.3","6.9","6.2","2.7","3.7","2.3","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.09.27","18.5","7.2","6.6","1.5","4.0","11.3","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.10.05","19.7","7.3","7.1","3.0","3.0","2.5","20","0","0","0","20","","",""
"호소","운문호","댐앞","2021.10.12","17.7","7.2","6.0","1.5","3.9","3.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.10.18","15.6","6.6","6.5","2.5","2.2","4.3","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.10.25","17.0","6.9","7.1","2.0","2.7","2.5","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.11.01","16.3","6.9","7.1","2.5","5.0","3.3","33","0","0","0","33","","",""
"호소","운문호","댐앞","2021.11.08","15.8","6.8","7.1","2.5","3.5","4.6","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.11.15","13.0","6.8","6.7","2.5","3.7","5.1","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.11.22","11.9","7.3","8.1","2.5","4.5","4.9","0","0","0","0","0","","",""
"호소","운문호","댐앞","2021.11.29","11.4","7.2","7.8","2.0","3.5","4.7","119","0","0","0","119","","",""
"호소","운문호","댐앞","2021.12.06","9.8","7.1","8.9","2.0","4.2","3.8","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.01.04","5.8","7.7","13.0","1.3","7.8","2.2","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.01.11","4.1","7.4","12.0","1.3","8.1","2.4","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.01.18","3.7","7.3","13.5","1.3","7.2","1.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.01.25","4.6","7.5","13.2","1.4","7.2","2.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.02.01","5.0","7.1","12.2","1.3","8.3","2.4","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.02.08","3.6","7.6","13.4","1.4","8.6","3.1","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.02.15","4.6","7.5","13.1","1.5","7.3","3.0","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.02.22","5.1","7.9","12.9","1.4","7.5","4.1","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.03.02","4.3","7.1","13.6","1.4","8.0","3.8","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.03.08","5.8","7.1","13.2","1.5","6.9","3.6","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.03.15","7.4","7.4","13.1","1.7","6.3","3.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.03.22","6.7","7.5","12.9","1.6","7.3","2.8","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.03.29","8.4","7.4","12.4","1.5","6.2","3.1","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.04.05","9.7","7.7","12.0","1.5","6.8","3.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.04.12","10.0","7.3","11.7","1.3","6.4","3.6","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.04.19","10.1","8.1","11.4","1.7","7.6","1.8","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.04.26","12.1","8.3","11.0","1.6","6.8","2.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.05.03","11.6","7.5","10.7","1.5","7.6","2.2","40","0","0","40","0","","",""
"호소","운문호","취수탑2","2021.05.10","11.6","7.7","10.7","1.5","8.5","2.0","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.05.17","13.5","8.1","10.2","1.2","7.6","2.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.05.24","16.0","8.9","9.9","2.2","6.6","3.2","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.05.31","15.2","7.6","9.6","1.5","5.7","2.2","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.06.07","16.5","8.1","9.6","3.0","2.8","3.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.06.14","18.4","8.0","8.9","3.5","2.7","3.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.06.21","18.7","7.3","8.8","3.0","2.0","4.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.06.28","19.1","7.0","8.7","3.0","2.0","4.2","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.07.05","18.4","7.1","6.7","1.5","9.5","6.7","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.07.12","21.3","7.8","7.8","2.0","7.0","2.1","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.07.19","22.4","7.5","7.0","2.0","5.0","2.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.07.26","23.3","7.5","7.0","2.5","3.7","2.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.08.02","20.4","7.3","7.4","3.0","4.3","2.7","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.08.09","20.7","7.1","6.2","3.0","3.6","2.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.08.17","20.5","7.2","5.6","2.5","3.4","3.6","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.08.23","22.9","7.0","5.8","2.0","4.5","4.0","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.08.30","22.3","7.9","6.3","1.5","9.5","4.5","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.09.06","19.9","7.6","6.2","1.7","5.9","3.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.09.13","21.8","7.1","7.1","1.7","6.0","9.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.09.23","20.5","6.6","5.8","2.7","3.6","2.8","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.09.27","21.0","7.2","6.8","1.5","4.2","7.7","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.10.05","21.9","7.6","6.9","2.7","3.6","4.9","238","238","0","0","0","","",""
"호소","운문호","취수탑2","2021.10.12","20.9","7.3","7.4","1.5","2.9","5.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.10.18","19.8","6.7","6.6","2.5","2.8","4.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.10.25","20.0","7.0","7.2","2.0","2.2","3.3","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.11.01","17.7","7.0","7.9","2.5","4.8","5.4","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.11.08","17.0","7.1","8.7","2.5","3.7","6.1","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.11.15","15.0","6.9","8.7","2.5","3.2","5.9","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.11.22","13.3","7.3","9.5","2.5","3.5","7.2","79","0","79","0","0","","",""
"호소","운문호","취수탑2","2021.11.29","12.7","7.2","9.7","2.0","3.7","6.6","0","0","0","0","0","","",""
"호소","운문호","취수탑2","2021.12.06","10.6","7.3","10.4","2.0","3.1","5.6","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.01.04","4.0","7.9","12.7","0.6","20.7","3.5","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.01.11","4.2","8.4","12.4","0.9","14.5","3.5","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.01.18","3.7","8.0","12.6","1.0","11.2","3.2","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.01.25","7.7","8.3","11.4","1.0","11.6","3.6","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.02.01","6.4","8.0","11.8","1.0","12.2","4.5","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.02.08","2.6","7.9","13.8","0.8","16.5","6.5","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.02.15","4.9","8.2","12.6","1.0","11.0","10.4","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.02.22","7.6","7.6","11.7","0.9","15.6","16.1","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.03.02","6.5","7.9","12.7","0.9","14.8","17.6","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.03.08","6.6","8.0","13.2","1.0","12.3","14.6","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.03.15","8.8","7.9","12.7","1.2","7.9","14.4","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.03.22","10.1","8.4","12.1","1.0","11.8","13.4","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.03.29","11.2","7.8","11.8","0.9","13.7","10.1","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.04.05","14.4","8.2","10.8","1.6","3.0","10.0","304","0","0","0","304","","",""
"호소","영천호","취수탑","2021.04.12","11.8","8.1","11.5","1.2","4.4","16.0","521","0","0","0","521","","",""
"호소","영천호","취수탑","2021.04.19","15.6","8.0","10.1","1.1","6.5","6.7","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.04.26","15.3","8.2","10.2","1.4","3.6","8.6","191","0","0","0","191","","",""
"호소","영천호","취수탑","2021.05.03","17.0","8.3","10.2","1.5","2.8","13.1","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.05.10","13.7","7.8","9.4","1.2","4.5","9.4","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.05.17","16.7","8.0","8.8","1.4","3.6","7.7","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.05.24","21.1","8.9","10.0","2.1","1.7","9.7","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.05.31","19.2","7.9","8.4","1.9","2.0","6.1","195","0","0","0","195","","",""
"호소","영천호","취수탑","2021.06.07","20.1","7.8","8.2","1.2","5.9","6.8","0","0","0","0","0","","",""
"호소","영천호","취수탑","2021.06.14","20.9","8.0","8.9","1.5","3.2","5.5","79","0","0","79","0","","",""
"호소","영천호","취수탑","2021.06.21","22.0","8.2","7.4","2.2","1.5","3.9","33","0","0","0","33","","",""
"호소","영천호","취수탑","2021.06.28","21.5","8.2","7.0","2.5","1.0","6.9","561","139","0","0","422","","",""
"호소","영천호","취수탑","2021.07.05","23.2","8.3","7.9","1.5","2.8","8.4","389","0","0","0","389","","",""
"호소","영천호","취수탑","2021.07.12","23.6","8.0","7.1","1.1","9.0","5.9","185","0","0","0","185","","",""
"호소","영천호","취수탑","2021.07.19","24.4","8.1","6.8","0.9","13.0","17.6","6410","5413","0","0","997","","",""
"호소","영천호","취수탑","2021.07.26","24.3","9.0","7.1","1.0","10.5","23.3","89576","4040","0","0","85536","","",""
"호소","영천호","취수탑","2021.08.02","22.8","8.2","6.4","1.1","8.7","20.3","81328","733","0","0","80595","","",""
"호소","영천호","취수탑","2021.08.05","24.0","8.0","4.7","1.7","2.8","3.2","2600","158","0","0","2442","2","11","정량한계미만"
"호소","영천호","취수탑","2021.08.09","23.5","8.6","6.1","1.1","9.7","8.9","838","416","0","0","422","1","23","정량한계미만"
